정류장 고유번호,정류장 명,위도,경도
11020,봉산리(중뜸),36.60936,127.27516
11012,방축골(갑부농원),36.60075,127.27606
11022,봉산1리,36.60484,127.27739
11021,봉산1리,36.60486,127.27756
11025,봉산1리마을회관,36.60681,127.27801
11024,봉산1리마을회관,36.60694,127.27798
11026,봉산리,36.6061,127.28081
11027,봉산리,36.60621,127.28092
11087,한마음효요양병원,36.63375,127.28309
11086,한마음효요양병원,36.63387,127.28325
11031,서창리,36.60512,127.28421
11032,서창리,36.60526,127.28432
11052,세종시민체육관,36.59455,127.28477
11036,세종시민체육관,36.59468,127.28478
11049,신안리마을회관,36.61655,127.28695
11033,신안리마을회관,36.61637,127.28719
11066,세종여자고등학교,36.60638,127.28828
11065,세종여자고등학교,36.60653,127.28837
39021,운당2리,36.7058276,127.1497944
11073,조형아파트,36.63471,127.28878
11074,조형아파트,36.63441,127.28884
11005,구렁말,36.61737,127.28887
11047,신안2리입구,36.62874,127.28909
11048,신안2리입구,36.62926,127.28909
11080,중앙요양병원,36.614,127.2894
11079,중앙요양병원,36.61411,127.28953
11043,신봉초등학교,36.60283,127.28966
11053,신흥주공아파트,36.5951,127.28973
11054,신흥주공아파트,36.59523,127.28973
11067,세종여자고등학교입구,36.6070144,127.2912647
11011,세종시문화예술회관,36.59869,127.29035
11089,홍익대학교,36.62188,127.29056
11010,세종시문화예술회관,36.598,127.29075
11061,자이아파트정문,36.58832,127.29073
11044,신안1리,36.61865,127.29091
11088,홍익대학교,36.62178,127.29072
11045,신안1리입구,36.61353,127.29121
11068,세종여자고등학교입구,36.6068434,127.2914161
11059,자이아파트,36.59083,127.29173
11058,자이아파트,36.59085,127.29192
11001,고려대학교,36.6108381,127.2930928
11093,조치원역,36.6013323,127.2970784
34082,용담1리(옹기마을),36.42655,127.28053
34083,용담1리(옹기마을),36.4267,127.28061
34010,금남면사무소,36.46423,127.28098
34011,금남면사무소,36.46472,127.28097
34033,용포리,36.46842,127.2813
34045,두만리,36.43423,127.28279
34044,두만리,36.4342,127.28305
34053,발산리,36.45638,127.28405
34054,발산리,36.45648,127.28418
32056,응암2리,36.55719,127.34201
32055,응암1리마을회관,36.54295,127.34252
32069,합강2리,36.51809,127.34261
32021,명학1리,36.5372,127.34346
32061,응암4리,36.55802,127.34467
32060,응암4리,36.55812,127.3448
32054,응암리(가마골),36.54116,127.34694
32045,용운사,36.51858,127.347
32036,명학리,36.53567,127.34787
32019,명학리,36.5355203,127.3492298
32016,명학2리(황룡사),36.52683,127.35145
32066,청정아파트,36.52924,127.35153
32075,명학2리(황룡사),36.52685,127.35158
32017,명학3리,36.53454,127.35168
32067,청정아파트,36.52908,127.35172
32064,청봉사,36.52218,127.3536
32058,응암3리입구,36.54687,127.35382
32057,응암3리입구,36.54694,127.35395
32059,응암3리입구,36.54658,127.35398
32015,명학2리(용당),36.52015,127.35409
36115,청라리,36.58827,127.19832
36114,청라2리,36.5926304,127.2092889
36113,청라2리,36.5928335,127.2093887
36065,쌍류보건진료소,36.59453,127.21345
36067,쌍류보건진료소,36.59467,127.21372
36066,쌍류리,36.5989,127.22171
36020,기룡리,36.57124,127.22424
36085,와촌3리(은암),36.55599,127.22458
36107,와촌3리(은암),36.55608,127.22474
36096,용암삼거리,36.5995848,127.227268
36094,용암리(금단마을),36.5944128,127.227644
36093,고복저수지,36.60423,127.22974
36095,고복저수지,36.60408,127.2298
36019,금박골,36.55686,127.22988
36092,용암리입구,36.60881,127.23234
36023,기룡정미소,36.5727,127.23243
36030,기룡리정미소,36.57266,127.23264
36086,와촌3리,36.55658,127.2332
36059,신대2리(송적골),36.59008,127.2332
36060,신대2리(송적골),36.59011,127.2335
36021,기룡리복지회관,36.57314,127.23419
36025,대륙테크놀로지,36.55642,127.23748
36026,대륙테크놀로지,36.55656,127.2375
36116,평전,36.57384,127.23765
36117,평전,36.57382,127.23827
36112,조치원노인전문병원,36.61157,127.23862
36082,영동부화장,36.57468,127.24063
36081,영동부화장,36.57498,127.24087
36005,고복2리,36.61318,127.24315
36004,고복2리,36.61349,127.24327
36118,기룡리(효교동),36.57669,127.24638
36089,와촌보건진료소,36.55668,127.24644
36090,와촌보건진료소,36.55657,127.24644
36109,고복리조각공원,36.61279,127.24778
36062,신대2리마을회관,36.58474,127.24801
36061,신대2리마을회관,36.58454,127.24817
36007,고복저수지입구,36.60976,127.24836
36088,와촌리(기와말),36.55682,127.2488
36087,와촌리(기와말),36.55695,127.24885
36009,고복리,36.60692,127.25073
36058,신대1리마을회관,36.58112,127.25147
36057,신대1리,36.57817,127.25147
36063,신대1리마을회관,36.5814876,127.2513956
36056,신대1리,36.57801,127.25158
36055,신대1리,36.57811,127.25175
36051,세종기숙학원,36.55689,127.252
35036,용암2리입구,36.5522218,127.2158015
35017,봉안리(부일가든),36.50016,127.21592
35002,금암삼거리,36.43837,127.21848
35008,금암삼거리,36.4382,127.2185
35019,산학리,36.49191,127.22186
35020,산학리,36.49187,127.22221
35015,봉안리,36.49892,127.22398
35013,동원주식회사,36.4881,127.22658
35014,동원주식회사,36.4889,127.22667
35021,영평사입구,36.47582,127.23838
35031,영평사입구,36.47564,127.23857
38012,베어트리파크,36.67207,127.21071
38013,베어트리파크,36.67203,127.21089
38035,흥진레미콘,36.65236,127.21365
38033,송성1리입구,36.6495494,127.2134708
38036,송성1리입구,36.6496282,127.2136204
38085,흥진레미콘,36.65265,127.21388
38037,송성2리입구,36.66242,127.21428
38038,송성2리입구,36.66261,127.21437
38040,송성3리마을회관,36.6379094,127.2172513
38010,미곡리,36.66429,127.21949
38011,미곡리,36.66418,127.21964
38002,개미고개,36.65799,127.22055
38001,개미고개,36.65797,127.22078
38073,청람리입구,36.6615,127.23251
38047,송정리,36.62505,127.2325
38074,청람리,36.65163,127.23286
38072,청람1리마을회관,36.65495,127.23318
38071,청람1리마을회관,36.65476,127.23347
38048,송정2리(구리골),36.62602,127.23617
38050,송정리(행골),36.6274,127.24115
38051,송정리(행골),36.62748,127.24134
38043,송정1리(상소골),36.62739,127.24411
38046,송정1리(상소골),36.62752,127.24412
38083,아람달동림권역체험관,36.6656,127.24464
38041,송정1리,36.6278,127.24617
38042,송정1리,36.62792,127.24628
38045,송정1리(권고조경),36.62849,127.25058
38044,송정1리(권고조경),36.62871,127.25064
38077,청송산업단지입구,36.66366,127.25556
38020,석곡리,36.6587466,127.2560505
38030,송곡2리(능골),36.62956,127.25671
38021,석곡리,36.6591135,127.2569277
38031,송곡2리(능골),36.62967,127.25687
38016,보덕2리마을회관,36.64401,127.25738
38079,청송리,36.66181,127.25736
38081,석곡리입구,36.65908,127.25977
38028,송곡2리,36.63014,127.26023
38029,송곡2리,36.63007,127.26045
38019,봉대리(평말),36.68073,127.26314
38018,봉대리(평말),36.68098,127.26305
38063,전동 복컴·면사무소·초등학교,36.65549,127.26387
38062,전동 복컴·면사무소·초등학교,36.65526,127.26404
38052,봉대리,36.68337,127.26512
38017,봉대리,36.68345,127.26529
38068,전동역,36.65419,127.26593
38025,송곡1리,36.6306,127.26601
38023,송곡1리,36.63073,127.26613
38067,전동삼거리,36.65346,127.26687
38064,전동삼거리,36.65378,127.2669
38066,전동삼거리,36.65356,127.26695
38065,전동삼거리,36.65369,127.26701
38027,송곡1리(예비군훈련장),36.62553,127.26835
38026,송곡1리(예비군훈련장),36.62545,127.26847
38024,송곡보건진료소,36.63065,127.26908
38008,노장농공단지,36.66071,127.27012
38007,노장농공단지,36.6609,127.27033
38069,조치원낚시터,36.67308,127.2706
38070,조치원낚시터,36.67291,127.27078
38057,심중2리입구,36.64988,127.27101
38060,심중2리입구,36.64999,127.27104
38089,세종시공원묘원,36.69282,127.27229
38088,세종시공원묘원,36.69279,127.27243
38005,노장3리,36.66938,127.2725
38004,노장2리,36.66327,127.27263
38003,노장2리,36.66316,127.27271
38015,보덕1리,36.6326,127.27317
38014,보덕1리,36.63252,127.2733
38054,심중1리,36.64451,127.27593
38053,심중1리,36.64456,127.27603
38055,심중2리입구,36.6575,127.28108
38056,심중2리,36.66544,127.29221
38058,심중2리,36.66531,127.29224
38061,심중리시민스포츠센터,36.6704,127.29874
37002,KCC앞,36.70852,127.15296
37070,유천리(어천),36.68803,127.16612
37069,유천리(어천),36.6879,127.16612
36108,전당골,36.58242,127.26832
39027,대곡리,36.7298387,127.1667903
51060,"가재마을9, 10단지",36.5018101,127.2525964
51061,종촌종합복지센터,36.5021148,127.2463449
51062,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959
51063,고운중학교,36.5068832,127.2367283
51064,고운중학교,36.5060786,127.2377584
51065,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854
51066,종촌종합복지센터,36.5019154,127.246929
51067,"가재마을9, 10단지",36.5015892,127.2525636
53017,"가락마을12,14단지",36.51301,127.2331115
53018,"가락마을12,14단지",36.5129521,127.2334076
52051,도램마을20단지,36.5174087,127.2649161
52052,"도램마을8,10단지",36.5119283,127.2595385
52053,"도램마을8,10단지",36.5121473,127.2599592
