id,title,release_date,popularity
259693,컨저링 2,2016-06-08,15.0477
568124,엔칸토: 마법의 세계,2021-10-13,13.8428
572802,아쿠아맨과 로스트 킹덤,2023-12-20,13.4265
1232933,심연의 공포,2025-05-02,13.4251
76341,매드 맥스: 분노의 도로,2015-05-13,15.3298
1477566,난장판이 된 사건사고: 열기구 소년,2025-07-14,12.8412
882598,스마일,2022-09-23,12.1832
588228,투모로우 워,2021-09-03,13.1172
9502,쿵푸팬더,2008-06-04,12.1449
1357459,Tatsulok: Tatlo Magkasalo,2024-10-11,16.717
10681,월•E,2008-06-22,13.5882
1043905,더티 엔젤스,2024-12-11,14.0765
8681,테이큰,2008-02-18,14.4092
453395,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,13.1027
1092073,The Haunting at Saint Joseph's,2023-02-26,12.898
1053583,8,2025-03-21,37.3842
1152619,Possessions,2024-04-12,13.5118
999613,Кристина,2022-07-07,13.1175
372058,너의 이름은,2016-08-26,16.4135
1452,수퍼맨 리턴즈,2006-06-28,13.6003
670,올드보이,2003-11-21,12.5002
118,찰리와 초콜릿 공장,2005-07-13,14.1185
639720,이프: 상상의 친구,2024-05-08,13.1841
1476450,Bayo,2025-06-24,13.344
1029575,'패밀리 플랜' - The Family Plan,2023-12-14,15.0436
105,빽 투 더 퓨쳐,1985-07-03,13.0672
245891,존 윅,2014-10-22,13.9047
9655,쉬즈 더  맨,2006-03-17,10.2496
6977,노인을 위한 나라는 없다,2007-06-13,13.575
346364,그것,2017-09-06,12.5008
953,마다가스카,2005-05-25,12.2426
766507,프레이,2022-08-02,13.1275
615656,메가로돈 2,2023-08-02,13.2987
168259,분노의 질주: 더 세븐,2015-04-01,14.0462
38,이터널 선샤인,2004-03-19,13.3834
50620,브레이킹 던 Part 2,2012-11-13,15.0096
1297028,Rosario,2025-05-01,12.9733
384018,분노의 질주: 홉스 & 쇼,2019-08-01,12.3868
177677,미션 임파서블: 로그네이션,2015-07-28,13.2083
102651,말레피센트,2014-05-28,12.1792
72190,월드워 Z,2013-06-19,12.6617
4951,내가 널 사랑할 수 없는 10가지 이유,1999-03-30,12.5797
99861,어벤져스: 에이지 오브 울트론,2015-04-22,13.401
439079,더 넌,2018-09-05,12.3755
897160,용감한 시민,2023-10-25,12.5774
1470736,Open,2025-06-14,12.4733
12,니모를 찾아서,2003-05-30,14.0695
1035048,엘리베이션,2024-11-07,13.4762
14160,업,2009-05-28,12.6456
493922,유전,2018-06-07,11.3559
940551,인투 더 월드,2023-12-06,13.7256
10674,뮬란,1998-06-18,12.213
438695,씽2게더,2021-12-01,12.7023
615173,마녀(魔女) Part2. The Other One,2022-06-15,13.2391
1263256,해피 길모어 2,2025-07-25,16.6788
1930,어메이징 스파이더맨,2012-06-23,14.5229
1104845,플랑크톤: 더 무비,2025-03-08,13.4765
324786,핵소 고지,2016-10-07,13.4855
976573,엘리멘탈,2023-06-14,12.4904
974576,콘클라베,2024-10-25,11.6315
280,터미네이터 2: 심판의 날,1991-07-03,13.8851
101,레옹,1994-09-14,11.3496
335983,베놈,2018-09-28,12.6431
286687,화려한 외출,2013-12-05,12.3906
56292,미션 임파서블: 고스트 프로토콜,2011-12-07,13.5692
718930,불릿 트레인,2022-08-03,11.8754
1125899,클리너,2025-02-19,12.4784
615457,노바디,2021-03-18,12.1936
675353,수퍼 소닉 2,2022-03-30,12.1826
769,좋은 친구들,1990-09-12,14.6853
1328913,Padre no hay más que uno 5: Nido repleto,2025-06-26,13.012
530385,미드소마,2019-07-03,11.745
937287,챌린저스,2024-04-18,12.3354
9806,인크레더블,2004-10-27,12.5556
1245399,Hola Frida!,2025-02-12,12.8811
617569,막내 이모,2019-07-18,11.0519
640,캐치 미 이프 유 캔,2002-12-16,12.0483
568770,Poseída,2025-06-05,12.5657
240832,루시,2014-07-25,14.6207
1055110,扉を閉めた女教師,2021-10-03,13.3489
